
23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃
51	23	0.996483696	51	23	0	51	23	0.997589689	51	23	0.99800391	51	23	0.998119516	51	23	0.996169598	51	23	0.996373296	51	23	0.997230203	51	35	0.992010446	51	35	0.99266279	51	35	0.99310567	51	35	0.991184343	51	45	0.990331667	51	45	0.991010696	51	45	0.991204265	51	45	0.991530916	51	45	0.990982895	51	45	0.989463933
52	23	0.996721621	52	23	0.993178958	52	23	0.998267188	52	23	0.998637097	52	23	0.99806337	52	23	0.994980506	52	23	0.995322614	52	23	0.994752987	52	35	0.992064728	52	35	0.992512979	52	35	0.993188125	52	35	0.991020857	52	45	0.990210506	52	45	0.990848605	52	45	0.991042016	52	45	0.991395466	52	45	0.990833932	52	45	0.989315158
53	23	0.996301583	53	23	0.993486217	53	23	0.9983227	53	23	0.998440134	53	23	0.997740756	53	23	0.994869044	53	23	0.995014826	53	23	0.99569032	53	35	0.991948952	53	35	0.992301365	53	35	0.992465438	53	35	0.990783513	53	45	0.989939894	53	45	0.990659826	53	45	0.990744496	53	45	0.991232723	53	45	0.990711761	53	45	0.989138913
54	23	0.99617537	54	23	0.993988439	54	23	0.997124121	54	23	0.998158237	54	23	0.997572206	54	23	0.995204367	54	23	0.995028853	54	23	0.995803023	54	35	0.991710638	54	35	0.992192173	54	35	0.992574612	54	35	0.990566281	54	45	0.989695998	54	45	0.990416829	54	45	0.990352341	54	45	0.991002557	54	45	0.990535489	54	45	0.9888949
55	23	0.995740809	55	23	0.993932625	55	23	0.997096466	55	23	0.997807419	55	23	0.997614248	55	23	0.99542845	55	23	0.994467797	55	23	0.995074581	55	35	0.991451666	55	35	0.992008195	55	35	0.992287773	55	35	0.990409357	55	45	0.989291072	55	45	0.989903933	55	45	0.98989339	55	45	0.990609475	55	45	0.990073833	55	45	0.988624086
56	23	0.995699073	56	23	0.993096003	56	23	0.998012673	56	23	0.997849606	56	23	0.997038686	56	23	0.994799455	56	23	0.994440123	56	23	0.994584713	56	35	0.991438434	56	35	0.991892074	56	35	0.992288211	56	35	0.990300516	56	45	0.989087736	56	45	0.98999842	56	45	0.989947258	56	45	0.990717762	56	45	0.990047452	56	45	0.988420846
57	23	0.995699252	57	23	0.993723113	57	23	0.997857536	57	23	0.997933486	57	23	0.997263023	57	23	0.993946823	57	23	0.994131909	57	23	0.995019011	57	35	0.991158832	57	35	0.991776378	57	35	0.992349322	57	35	0.990157883	57	45	0.988952537	57	45	0.989701422	57	45	0.989663872	57	45	0.990338532	57	45	0.989681371	57	45	0.988163875
58	23	0.995909003	58	23	0.993248832	58	23	0.996997965	58	23	0.998158461	58	23	0.99710898	58	23	0.993750611	58	23	0.994146405	58	23	0.994668605	58	35	0.991192721	58	35	0.99160586	58	35	0.992008313	58	35	0.989953882	58	45	0.988776607	58	45	0.989539784	58	45	0.989460705	58	45	0.990148344	58	45	0.989600111	58	45	0.987825422
59	23	0.996077487	59	23	0.992872165	59	23	0.997307092	59	23	0.998003708	59	23	0.998006956	59	23	0.995036895	59	23	0.996288397	59	23	0.996012116	59	35	0.990804768	59	35	0.991414688	59	35	0.991898701	59	35	0.989763721	59	45	0.988560743	59	45	0.989364349	59	45	0.989285291	59	45	0.989959259	59	45	0.989477896	59	45	0.987595252
60	23	0.995993055	60	23	0.992091359	60	23	0.996602253	60	23	0.997454851	60	23	0.999115971	60	23	0.996826486	60	23	0.997731989	60	23	0.997257229	60	35	0.990498277	60	35	0.991251364	60	35	0.991728615	60	35	0.989560197	60	45	0.988276525	60	45	0.989188742	60	45	0.989055407	60	45	0.989782902	60	45	0.989355747	60	45	0.987486387
61	23	0.996077532	61	23	0.993151618	61	23	0.99677178	61	23	0.997441394	61	23	0.998456683	61	23	0.996826687	61	23	0.997969621	61	23	0.997972057	61	35	0.990348347	61	35	0.991114987	61	35	0.991660787	61	35	0.98941018	61	45	0.988046925	61	45	0.98895909	61	45	0.98883929	61	45	0.989552758	61	45	0.989138649	61	45	0.987297011
62	23	0.995923816	62	23	0.993598092	62	23	0.996940834	62	23	0.997848955	62	23	0.998218242	62	23	0.996631121	62	23	0.998208414	62	23	0.997831457	62	35	0.990301225	62	35	0.990937275	62	35	0.991489865	62	35	0.989165453	62	45	0.987775882	62	45	0.988770095	62	45	0.988623196	62	45	0.989362808	62	45	0.988989881	62	45	0.986985813
63	23	0.99576896	63	23	0.99149141	63	23	0.996785967	63	23	0.997834826	63	23	0.998147746	63	23	0.997078642	63	23	0.998698218	63	23	0.997342437	63	35	0.990090118	63	35	0.990814862	63	35	0.990678896	63	35	0.989036474	63	45	0.98738385	63	45	0.988581574	63	45	0.98827198	63	45	0.989146083	63	45	0.988637206	63	45	0.986769205
64	23	0.995376626	64	23	0.991115011	64	23	0.996574576	64	23	0.99793389	64	23	0.998035633	64	23	0.995918089	64	23	0.998109243	64	23	0.997649972	64	35	0.989769679	64	35	0.990746607	64	35	0.990849155	64	35	0.988954942	64	45	0.987370503	64	45	0.98841929	64	45	0.988379715	64	45	0.988509243	64	45	0.988338784	64	45	0.986552381
65	23	0.995138232	65	23	0.991058929	65	23	0.996334698	65	23	0.997539875	65	23	0.998049021	65	23	0.996966488	65	23	0.997689506	65	23	0.997244017	65	35	0.989762731	65	35	0.990814623	65	35	0.990324441	65	35	0.988812282	65	45	0.987086737	65	45	0.988324825	65	45	0.988298871	65	45	0.988929143	65	45	0.988623562	65	45	0.986227318
66	23	0.995222664	66	23	0.991867543	66	23	0.996390885	66	23	0.998003462	66	23	0.999242232	66	23	0.996616695	66	23	0.99710167	66	23	0.996544142	66	35	0.989421873	66	35	0.990957955	66	35	0.990658017	66	35	0.988567529	66	45	0.986856448	66	45	0.988095561	66	45	0.988028715	66	45	0.988672397	66	45	0.98833859	66	45	0.985861503
67	23	0.99502652	67	23	0.990598418	67	23	0.996236445	67	23	0.99776485	67	23	0.999944481	67	23	0.997008652	67	23	0.997871611	67	23	0.997272182	67	35	0.98923137	67	35	0.990630194	67	35	0.990801317	67	35	0.988370488	67	45	0.986721681	67	45	0.987893071	67	45	0.987960842	67	45	0.988523095	67	45	0.988244291	67	45	0.985468477
68	23	0.994998614	68	23	0.991993477	68	23	0.995940313	68	23	0.997342958	68	23	1.000407707	68	23	0.996938394	68	23	0.997773735	68	23	0.996628301	68	35	0.989265446	68	35	0.99101952	68	35	0.990549055	68	35	0.988247992	68	45	0.98655927	68	45	0.987785025	68	45	0.98777209	68	45	0.988454808	68	45	0.988108302	68	45	0.985306507
69	23	0.994634163	69	23	0.991755913	69	23	0.995658391	69	23	0.99708997	69	23	0.999916542	69	23	0.99710649	69	23	0.997731788	69	23	0.997552243	69	35	0.988645277	69	35	0.990766996	69	35	0.990432302	69	35	0.988112318	69	45	0.986329239	69	45	0.987569127	69	45	0.98765035	69	45	0.988292476	69	45	0.987945717	69	45	0.985143846
70	23	0.994480224	70	23	0.990179773	70	23	0.995418693	70	23	0.996597429	70	23	1.000140365	70	23	0.996966065	70	23	0.99676509	70	23	0.997580564	70	35	0.988413699	70	35	0.990774004	70	35	0.989915141	70	35	0.987928508	70	45	0.986072427	70	45	0.987353056	70	45	0.987474914	70	45	0.988061921	70	45	0.987701353	70	45	0.984994661
71	23	0.994270026	71	23	0.990765707	71	23	0.995052031	71	23	0.996442721	71	23	0.99959395	71	23	0.995470368	71	23	0.996120654	71	23	0.996838308	71	35	0.988509931	71	35	0.990569345	71	35	0.990106292	71	35	0.987806674	71	45	0.985829178	71	45	0.987150717	71	45	0.987258389	71	45	0.987831799	71	45	0.987498311	71	45	0.984521039
72	23	0.993849965	72	23	0.990528833	72	23	0.994205972	72	23	0.995922841	72	23	0.999523611	72	23	0.996505389	72	23	0.996582829	72	23	0.997929855	72	35	0.98840044	72	35	0.990255707	72	35	0.989697005	72	35	0.987636466	72	45	0.985517813	72	45	0.9869077	72	45	0.987069659	72	45	0.987560164	72	45	0.987294598	72	45	0.984087823
73	23	0.993639499	73	23	0.990877625	73	23	0.994276526	73	23	0.996034958	73	23	0.999565474	73	23	0.996072183	73	23	0.996750974	73	23	0.997117968	73	35	0.988420859	73	35	0.989853398	73	35	0.989771854	73	35	0.987466549	73	45	0.985261216	73	45	0.986664725	73	45	0.986731996	73	45	0.987302986	73	45	0.987037087	73	45	0.983817009
74	23	0.993723975	74	23	0.990263217	74	23	0.994219889	74	23	0.995936701	74	23	0.999860576	74	23	0.995791911	74	23	0.997143483	74	23	0.99653055	74	35	0.987978173	74	35	0.990153258	74	35	0.988851485	74	35	0.987200731	74	45	0.984909766	74	45	0.986395234	74	45	0.986462012	74	45	0.98700475	74	45	0.986820422	74	45	0.982976924
75	23	0.993486028	75	23	0.990668336	75	23	0.993994154	75	23	0.995627442	75	23	0.999705413	75	23	0.995567783	75	23	0.996974578	75	23	0.997453623	75	35	0.988005725	75	35	0.989675925	75	35	0.989055684	75	35	0.98702449	75	45	0.984706408	75	45	0.986233186	75	45	0.986204935	75	45	0.986774822	75	45	0.986535406	75	45	0.982747142
